Area,Timestamp,Chi2,NDF,Pulse Count,Rem Pulse Area,Par0,Par1,Par2,Par3,EventID,Time to fit,FitResult,RisePoint
43034.87004061099,2251748231.0,67627.72120506525,1841,1,43034.87004061099,691.6729141465268,149.0,69.79785613109286,7.535697516876755,48944,0.7992727756500244,0,149
75458.87348469354,2252123213.0,112401.69487990961,1832,1,75458.87348469354,1303.971111213214,158.0,65.7742286677505,7.864823147291212,48945,0.7045669555664062,0,158
53794.00536888784,2252207235.0,87521.02200990466,1833,1,53794.00536888784,927.0172886378729,157.0,66.13692843213524,8.067099168388095,48946,0.6335544586181641,0,157
41380.65804636895,2253016841.0,44855.37876942097,1841,1,41380.65804636895,676.9414810362815,149.0,68.17097292502773,6.998256340221391,48947,0.5807456970214844,0,149
56962.262528144565,2253198609.0,116455.84682020868,1835,1,56962.262528144565,939.3104052340946,155.0,68.51795027237122,7.832868658146749,48948,0.7045695781707764,0,155
55296.97139292884,2253287665.0,73585.12848104582,1836,1,55296.97139292884,918.5900027772691,154.0,67.87068429925519,7.630569026752952,48949,0.6973769664764404,0,154
70237.19031539882,2253306861.0,435120.9260500661,1821,1,70237.19031539882,1045.8559647603502,169.0,69.23478671522905,2.000000000000126,48950,0.7250032424926758,0,169
58150.19048097242,2253352249.0,89671.54106783877,1834,1,58150.19048097242,1014.8721067192404,156.0,65.6680360449942,8.33003809639789,48951,0.7222392559051514,0,156
60972.661072980605,2253585981.0,104830.27013766734,1834,1,60972.661072980605,1049.7000157619864,156.0,66.53550807431019,8.409410671807814,48952,0.7154502868652344,0,156
47035.0684257205,2253716929.0,261926.14464913492,1819,1,47035.0684257205,746.598147544209,171.0,65.07402984645927,2.000000000032939,48953,0.9546890258789062,0,171
52877.86761324596,2253861057.0,85373.47104746776,1837,1,52877.86761324596,861.3471567618506,153.0,69.12371819774039,7.690971065556797,48954,0.9754476547241211,0,153
78461.14371052873,2254057975.0,169715.89638673398,1834,1,78461.14371052873,1368.5932289277227,156.0,65.77363175573514,8.40397399378986,48955,0.9298193454742432,0,156
56820.89529731737,2254278427.0,112023.7917531652,1835,1,56820.89529731737,992.7876518644354,155.0,65.11253168873695,7.83833209398574,48956,0.9187624454498291,0,155
63379.34603806166,2254407025.0,112173.44160900488,1835,1,63379.34603806166,1066.559848202594,155.0,67.62778266885658,8.162362000558772,48957,0.9579148292541504,0,155
61714.02499880003,2254511373.0,106326.95291440022,1834,1,61714.02499880003,993.8332896994984,156.0,69.52605156343479,7.3851779246303755,48958,0.9080672264099121,0,156
52725.02690981004,2254559715.0,278627.9826219393,1818,1,52725.02690981004,806.5835829005649,172.0,67.44455554696346,2.000000000000036,48959,0.9282867908477783,0,172
64648.46709088996,2254662525.0,150240.89253864245,1833,1,64648.46709088996,1097.3139830899784,157.0,67.46291868083155,8.507049861224521,48960,0.9474077224731445,0,157
37884.67674688032,2255090929.0,53399.53380317555,1845,1,37884.67674688032,671.1558933818941,145.0,63.94319068393482,7.455837602679979,48961,0.7860336303710938,0,145
57373.595902652334,2255241601.0,136425.2251659412,1837,1,57373.595902652334,972.2400581232696,153.0,67.29237746823027,8.239647023554841,48962,0.921501874923706,0,153
55000.152217245704,2255284071.0,90287.04995965728,1834,1,55000.152217245704,882.1542921264497,156.0,69.05104128885306,6.658223807816693,48963,0.9279844760894775,0,156
64749.00818603458,2255469555.0,98680.59341227442,1833,1,64749.00818603458,1069.6802046035405,157.0,68.14314507454722,7.5691809748324195,48964,0.9385206699371338,0,157
55371.21439350254,2255674959.0,94974.19089339317,1833,1,55371.21439350254,949.5060696834892,157.0,65.93310577864571,7.575773779557918,48965,0.7691903114318848,0,157
64478.94934563355,2255730187.0,118101.2047525683,1833,1,64478.94934563355,1109.8429390708193,157.0,66.48652664174423,8.34876657746827,48966,0.9278485774993896,0,157
53768.79371724359,2255754433.0,109731.25242467475,1836,1,53768.79371724359,986.2385716915014,154.0,63.257489135912124,8.700505702605295,48967,0.9114270210266113,0,154
55545.05135950073,2256018145.0,81139.20028724436,1836,1,55545.05135950073,917.3213870023003,154.0,67.91355713745315,7.3190935138518665,48968,0.7754201889038086,0,154
61652.79490068324,2256173799.0,118741.99313182906,1835,1,61652.79490068324,1011.3555242681988,155.0,68.99295874780411,7.989988890595376,48969,0.9283900260925293,0,155
45396.243962795284,2256457513.0,81227.28852925719,1835,1,45396.243962795284,770.9978662871197,155.0,66.87314593609935,7.951996249923004,48970,0.9439241886138916,0,155
63060.025731766655,2256567573.0,133655.4368158688,1835,1,63060.025731766655,1096.5390987270114,155.0,66.58088642585292,9.033367892339664,48971,0.9306244850158691,0,155
46294.979173104235,2256577393.0,72658.54221957414,1836,1,46294.979173104235,765.1896001599505,154.0,67.88273028449859,7.338359805406005,48972,0.9328615665435791,0,154
48422.99637360671,2256862095.0,56608.07002039622,1834,1,48422.99637360671,835.9658598324918,156.0,65.54546976164643,7.579579971416252,48973,0.7762875556945801,0,156
62392.938876671535,2256894495.0,122477.35848703745,1835,1,62392.938876671535,1044.6903365697065,155.0,67.7142970495632,7.948665336924462,48974,0.8574647903442383,0,155
63483.814277624915,2257404637.0,102429.38164638037,1833,1,63483.814277624915,1105.33781909014,157.0,66.0388404815872,8.565209922362635,48975,0.9529018402099609,0,157
59191.41985214817,2257430929.0,131240.33704092455,1833,1,59191.41985214817,1003.7708495227508,157.0,66.89196235950834,7.881435307995836,48976,0.9211082458496094,0,157
